bill_type,bill_year,bill_congress,rouge_l,rouge_1,rouge_2,rouge_3,bleu_score
s,112,2701,0.436724566,0.58560794,0.573566085,0.556390977,0.691624611
s,112,2702,0.432432432,0.57985258,0.572839506,0.555831266,0.677014954
s,112,2703,0.406392694,0.579908676,0.568807339,0.552995392,0.691271368
s,112,2704,0.348514851,0.459405941,0.441351889,0.407185629,0.700930585
s,112,2705,0.662790698,0.794573643,0.727626459,0.65234375,0.602844833
s,112,2706,0.417777778,0.542222222,0.53125,0.515695067,0.685884492
s,112,2707,0.428893905,0.550790068,0.53968254,0.523917995,0.698247745
s,112,2708,0.408376963,0.706806283,0.610526316,0.534391534,0.66002927
s,112,2709,0.281879195,0.319463087,0.271870794,0.183535762,0.673985729
s,112,270,0.382296344,0.600384862,0.512524085,0.370418006,0.439405074
s,112,2710,0.429594272,0.577565632,0.570743405,0.554216867,0.672814038
s,112,2711,0.369609856,0.484599589,0.470103093,0.451345756,0.715928946
s,112,2712,0.465608466,0.576719577,0.473404255,0.331550802,0.681350384
s,112,2713,0.435643564,0.53960396,0.52238806,0.485,0.697260665
s,112,2714,0.389121339,0.481171548,0.466386555,0.447257384,0.682826775
s,112,2715,0.410501193,0.539379475,0.522781775,0.486746988,0.684319301
s,112,2716,0.417624521,0.567049808,0.557692308,0.544401544,0.647407771
s,112,2717,0.391836735,0.485714286,0.471311475,0.452674897,0.677014954
s,112,2718,0.390438247,0.474103586,0.468,0.445783133,0.69501503
s,112,2719,0.343362832,0.509734513,0.497335702,0.481283422,0.658037006
s,112,271,0.375,0.530448718,0.483146067,0.398713826,0.445369376
s,112,2720,0.350442478,0.509734513,0.497335702,0.481283422,0.664047101
s,112,2721,0.345323741,0.507194245,0.494584838,0.47826087,0.661509618
s,112,2722,0.309433962,0.40754717,0.310606061,0.224334601,0.693631908
s,112,2723,0.360493827,0.52345679,0.431761787,0.349127182,0.696880859
s,112,2724,0.361403509,0.50877193,0.492957746,0.469964664,0.700930585
s,112,2725,0.367021277,0.563829787,0.459893048,0.376344086,0.696880859
s,112,2726,0.370967742,0.487903226,0.473684211,0.455284553,0.680843028
s,112,2727,0.646121148,0.678002125,0.641107561,0.6339381,0.568421574
s,112,2728,0.380952381,0.48015873,0.466135458,0.444,0.687297238
s,112,2729,0.394067797,0.478813559,0.463829787,0.444444444,0.685828283
s,112,272,0.433823529,0.610294118,0.474201474,0.31773399,0.501621518
s,112,2730,0.36928702,0.493601463,0.47706422,0.453038674,0.668740305
s,112,2731,0.414342629,0.569721116,0.56,0.546184739,0.652994206
s,112,2732,0.360902256,0.488721805,0.475471698,0.446969697,0.675079784
s,112,2733,0.800899888,0.877390326,0.832018038,0.784180791,0.544903233
s,112,2734,0.380368098,0.470347648,0.459958932,0.437113402,0.694586669
s,112,2735,0.448548813,0.585751979,0.578249337,0.56,0.687354051
s,112,2736,0.323943662,0.440140845,0.346289753,0.230496454,0.702893445
s,112,2737,0.565371025,0.717314488,0.585106383,0.487544484,0.619535904
s,112,2738,0.532347505,0.658040665,0.589981447,0.517690875,0.64067233
s,112,2739,0.382608696,0.473913043,0.458515284,0.438596491,0.692035507
s,112,273,0.371764706,0.614117647,0.464622642,0.283687943,0.496054461
s,112,2740,0.563888889,0.661111111,0.604456825,0.547486034,0.615417093
s,112,2741,0.394849785,0.47639485,0.461206897,0.441558442,0.702279832
s,112,2742,0.388768898,0.475161987,0.459869848,0.440087146,0.697260665
s,112,2743,0.637781629,0.686308492,0.636521739,0.631762653,0.607053429
s,112,2744,0.436893204,0.587378641,0.56097561,0.504901961,0.672814038
s,112,2745,0.43373494,0.578313253,0.571428571,0.554744526,0.674199862
s,112,2746,0.447761194,0.664179104,0.61423221,0.533834586,0.631802955
s,112,2747,0.684782609,0.807971014,0.745454545,0.675182482,0.590687185
s,112,2748,0.4,0.491089109,0.477137177,0.459081836,0.689340963
s,112,2749,0.516393443,0.659836066,0.580246914,0.495867769,0.629095118
s,112,274,0.391149743,0.535756618,0.474495848,0.38306292,0.387789917
s,112,2750,0.350086655,0.512998267,0.500869565,0.485165794,0.653545024
s,112,2751,0.387755102,0.485714286,0.471311475,0.452674897,0.690167017
s,112,2752,0.333333333,0.451476793,0.377118644,0.310638298,0.700466546
s,112,2753,0.360515021,0.440629471,0.427546628,0.411510791,0.685471731
s,112,2754,0.417061611,0.582938389,0.571428571,0.555023923,0.702755148
s,112,2755,0.414179104,0.563432836,0.550561798,0.533834586,0.678489698
s,112,2756,0.383259912,0.471365639,0.455752212,0.435555556,0.695246895
s,112,2757,0.411504425,0.584070796,0.564444444,0.53125,0.666192677
s,112,2758,0.46997389,0.595300261,0.572178478,0.53298153,0.691062177
s,112,2759,0.328571429,0.552380952,0.43062201,0.360576923,0.688724654
s,112,275,0.12422645,0.133623653,0.126547455,0.114881908,0.269594491
s,112,2760,0.529616725,0.658536585,0.524475524,0.414035088,0.626284496
s,112,2761,0.388059701,0.47761194,0.462526767,0.443010753,0.707106781
